keys;en;ru
appTitle;Mocsi;Mocsi
settings;Settings;Настройки
login;Login;Логин
invalidLogin;Invalid Login;Неверный логин
password;Password;Пароль
showPassword;Show Password;Показать пароль
invalidPassword;Invalid Password;Неверный пароль
shortPassword;Short Password;Короткий пароль
nickName;Nickname;Логин
invalidNickName;Invalid Nickame;Неверный логин
name;Name;Имя
invalidName;Invalid Name;Неверное имя
surname;Surname;Фамилия
invalidSurname;Invalid Surname;Неверная фамилия
signIn;Sign in;Вход
signInWithGoogle;Sign in with Google;Вход через Google
proxySettings;Proxy settings;Настройка прокси
domain;Domain;Домен
url;URL;URL
save;Save;Сохранить
registration;Registration;Регистрация
register;Register;Зарегистрироваться
eMail;E-mail;Электронная почта
invalidEMail;Invalid E-mail;Неверная электронная почта
next;Next;Далее
unexpectedError;Unexpected Error;Непредвиденная ошибка
noConnectionError;Check your internet connection;Проверьте ваше интернет-соединение
invalidEmailAndPasswordCombinationError;Invalid email and password combination;Неверная комбинация адреса электронной почты и пароля
userAlreadyExists;User already exists;Такой пользователь уже есть
serverError;Server Error;Ошибка сервера
rooms;Rooms;Комнаты
createNewRoom;Create new room;Создать новую комнату
creatingNewRoom;Creating new room;Создание новой комнаты
roomCreated;New room has been created;Создана новая комната
profile;Profile;Профиль
calendar;Calendar;Календарь
toMainMenu;To main menu;Возврат в главное меню
conferenceOnAir;Conference is on air;Конференция идёт
conferenceEnded;Conference has ended;Конференция закончилась
conferenceLoading;Conference is loading...;Конференция прогружается...
couldNotEnterConference;Could not enter a conference;Неудачная попытка входа в конференцию
join;Join;Присоединиться
signOut;Sign out;Выйти из аккаунта
